"","X","phrase","category","c2004","c2005","c2006","c2007","c2008","c2009","c2010","c2011","c2012","c2013","c2014","c2015","c2016"
"1","1","baby   ","1","83","47","38","76","243","160","145","166","253","173","166","127","194"
"2","2","mama   ","1","30","59","32","61","176","71","95","89","140","107","99","64","91"
"3","3","child   ","1","75","17","24","12","39","138","70","106","169","90","41","63","80"
"4","4","man   ","1","49","11","7","17","45","45","27","75","143","34","27","20","19"
"5","5","love   ","1","29","19","7","8","32","46","42","34","110","39","60","24","68"
"6","6","black   ","1","5","43","9","6","149","7","25","30","83","78","13","9","16"
"7","7","people   ","1","10","8","4","5","203","16","19","21","31","18","36","40","52"
"8","8","video   ","1","2","1","42","31","22","25","30","27","26","47","74","46","58"
"9","9","drama   ","1","9","22","11","20","116","41","45","25","59","20","25","8","19"
"10","10","mother   ","1","12","14","2","7","36","38","77","53","63","25","22","23","40"
"11","11","children   ","1","3","57","4","5","58","37","27","31","91","35","24","23","11"
"12","12","son   ","1","10","3","11","4","61","40","37","51","98","27","21","6","21"
"13","13","family   ","1","17","64","2","4","39","13","18","18","107","25","7","19","42"
"14","14","kids   ","1","5","4","2","4","16","58","41","34","107","26","12","32","16"
"15","15","relationship   ","1","9","3","1","18","13","12","34","53","120","22","18","22","17"
"16","16","woman   ","1","23","3","11","5","37","30","28","34","64","36","12","33","13"
"17","17","women   ","1","13","16","2","2","16","21","30","48","71","41","24","15","24"
"18","18","obama   ","1","1","0","0","0","292","0","1","0","8","6","1","1","3"
"19","19","fox   ","1","1","0","0","0","305","0","0","0","1","3","0","1","1"
"20","20","support   ","1","38","10","17","3","19","41","23","20","30","40","20","30","17"
"21","21","daughter   ","1","2","0","3","3","8","50","31","27","60","22","20","32","37"
"22","22","house   ","1","22","11","0","5","93","43","12","16","42","2","7","10","8"
"23","23","father   ","1","30","3","8","5","20","29","22","34","27","34","13","20","16"
"24","24","girl   ","1","11","3","3","10","14","33","14","31","29","32","22","14","40"
"25","25","sign   ","1","7","10","3","9","12","9","8","28","17","26","32","56","28"
"26","26","read   ","1","19","13","4","7","44","24","11","9","15","15","10","16","50"
"27","27","feel   ","1","7","5","4","5","27","17","10","25","82","6","25","10","12"
"28","28","daddy   ","1","16","0","1","5","110","23","5","17","14","9","11","8","6"
"29","29","together   ","1","3","2","4","3","6","21","13","29","97","13","11","9","13"
"30","30","live   ","1","2","5","3","7","31","23","29","25","39","10","8","20","18"
"31","31","baby mama  ","2","19","19","19","19","19","19","19","19","19","19","19","19","19"
"32","32","child support  ","2","22","22","22","22","22","22","22","22","22","22","22","22","22"
"33","33","mama drama  ","2","8","8","8","8","8","8","8","8","8","8","8","8","8"
"34","34","fox news  ","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","35","kanye west  ","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"36","36","his son  ","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"37","37","baby daddy  ","2","4","4","4","4","4","4","4","4","4","4","4","4","4"
"38","38","i love  ","2","4","4","4","4","4","4","4","4","4","4","4","4","4"
"39","39","michelle obama  ","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"40","40","my boyfriend  ","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"41","41","baby mamas  ","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","42","his child  ","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"43","43","pop culture  ","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","44","top black  ","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","45","new york  ","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","46","lil wayne  ","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","47","chris brown  ","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","48","babys daddy  ","2","11","11","11","11","11","11","11","11","11","11","11","11","11"
"49","49","valentines day  ","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","50","babys mama  ","2","3","3","3","3","3","3","3","3","3","3","3","3","3"
"51","51","formally arraigned  ","2","13","13","13","13","13","13","13","13","13","13","13","13","13"
"52","52","negatively impacting  ","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","53","creepy preacher  ","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"54","54","impregnating tara  ","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","55","las vegas  ","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56","56","somewhat dazed  ","2","12","12","12","12","12","12","12","12","12","12","12","12","12"
"57","57","los angeles  ","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58","58","peen picks  ","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","59","gold digger  ","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"60","60","drops whiteface  ","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","61","snl meltdown  ","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62","62","baller alert  ","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","63","domestic violence  ","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64","64","shots fired  ","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65","65","red carpet  ","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66","66","outraged liberals  ","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67","67","anti gay  ","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68","68","defense strategy  ","2","12","12","12","12","12","12","12","12","12","12","12","12","12"
"69","69","restraining order  ","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","70","gestational surrogacy  ","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"71","71","baby mama drama ","3","7","7","7","7","7","7","7","7","7","7","7","7","7"
"72","72","pop culture moments ","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"73","73","black pop culture ","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"74","74","in a relationship ","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75","75","baby mama daddy ","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76","76","obamas baby mama ","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"77","77","earth mama angel ","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"78","78","looks like kanye ","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"79","79","selling your soul ","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80","80","she was pregnant ","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"81","81","black lives matter ","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"82","82","at the grammys ","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"83","83","dirty dog diaries ","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84","84","shes scared of ","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85","85","alleged baby mama ","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"86","86","blast race matters ","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"87","87","hip hop cast ","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"88","88","loses white fans ","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"89","89","whiteface music video ","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"90","90","black panther party ","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"91","91","music video starring ","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"92","92","privacy invasion impersonation ","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"93","93","spanish civil servant ","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"94","94","kanyes epic snl ","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"95","95","snl meltdown uncensored ","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"96","96","black pop culture moments","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"97","97","nothing to do with","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","98","kanye west has competition","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"99","99","earth mama angel baby","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","100","new flavor of the","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"101","101","brown drops whiteface music","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"102","102","threesome with mimi faust","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103","103","k michelle naked video","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"104","104","support paying little scrappy","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"105","105","angry he spent 5000","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"106","106","plastic wal mart bag","4","7","7","7","7","7","7","7","7","7","7","7","7","7"
"107","107","worth selling your soul","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"108","108","accomplish   ","p","0","0","1","0","0","1","0","0","0","0","0","0","0"
"109","109","accomplished   ","p","0","0","0","0","6","0","0","0","0","0","0","1","0"
"110","110","accomplishes   ","p","0","0","0","0","0","0","0","0","0","0","0","0","0"
"111","111","adore   ","p","0","0","0","0","1","0","0","0","0","0","0","0","1"
"112","112","adorable   ","p","0","0","0","0","0","0","2","2","1","5","2","2","2"
"113","113","angel   ","p","0","1","1","19","0","2","0","1","0","0","1","1","2"
"114","114","angels   ","p","0","0","0","0","0","0","0","0","0","0","0","0","0"
"115","115","appreciate   ","p","0","3","0","0","5","6","2","1","2","0","1","0","0"
"116","116","appreciates   ","p","0","0","0","0","1","0","0","0","0","0","0","0","0"
"117","117","appreciated   ","p","0","0","0","1","0","1","1","2","4","0","0","1","0"
"118","118","beautiful   ","p","1","2","1","3","7","1","14","3","8","0","9","3","6"
"119","119","bless   ","p","0","0","0","0","0","0","0","0","3","0","0","1","5"
"120","120","blessed   ","p","1","0","0","1","1","1","7","1","3","2","1","0","2"
"121","121","blesses   ","p","0","0","0","0","0","0","0","0","0","0","0","0","0"
"122","122","blessing   ","p","0","0","0","0","0","2","3","1","1","0","2","0","0"
"123","123","celebrate   ","p","0","0","0","0","0","1","1","0","7","1","0","1","2"
"124","124","celebrates   ","p","0","0","0","0","0","0","0","0","2","1","0","0","1"
"125","125","celebrated   ","p","0","0","0","0","0","0","1","0","1","0","1","0","2"
"126","126","celebrating   ","p","0","0","0","0","1","1","1","1","2","0","1","1","1"
"127","127","classy   ","p","0","0","1","0","0","1","0","0","0","0","0","0","0"
"128","128","cute   ","p","0","1","0","1","2","7","1","1","6","5","15","1","4"
"129","129","educated   ","p","1","3","0","0","10","0","0","5","0","0","0","6","0"
"130","130","family   ","p","17","64","2","4","39","13","18","18","107","25","7","19","42"
"131","131","friend   ","p","6","0","0","4","3","14","8","6","15","4","10","14","8"
"132","132","friendly   ","p","0","0","1","0","1","7","2","1","3","1","0","0","0"
"133","133","good   ","p","8","12","8","8","62","33","29","27","52","17","14","18","13"
"134","134","gorgeous   ","p","0","1","1","0","0","0","3","1","1","2","2","0","2"
"135","135","happy   ","p","1","3","0","2","7","6","5","15","22","4","3","4","7"
"136","136","happiness   ","p","0","3","0","0","0","1","2","0","0","0","1","0","1"
"137","137","happily   ","p","0","0","0","0","0","0","2","0","5","0","0","0","0"
"138","138","healthy   ","p","10","1","0","2","3","1","1","4","1","2","2","4","4"
"139","139","honor   ","p","0","1","0","1","0","4","0","1","1","2","0","0","1"
"140","140","intelligent   ","p","1","0","1","1","7","0","0","1","0","0","0","0","0"
"141","141","kind   ","p","4","2","2","1","23","7","7","9","10","2","3","6","5"
"142","142","love   ","p","29","19","7","8","32","46","42","34","110","39","60","24","68"
"143","143","loves   ","p","1","1","0","2","5","6","2","4","15","5","1","1","3"
"144","144","loving   ","p","2","1","0","0","1","0","3","1","4","3","2","1","7"
"145","145","loved   ","p","1","1","0","0","7","4","1","2","18","2","4","5","5"
"146","146","nice   ","p","1","0","2","0","9","19","12","5","12","5","3","1","4"
"147","147","nurture   ","p","2","0","0","0","0","0","0","0","0","0","0","1","0"
"148","148","nurturer   ","p","0","0","0","0","1","0","0","1","0","0","0","0","0"
"149","149","nurtures   ","p","0","0","0","0","0","0","0","0","0","0","0","0","0"
"150","150","nurtured   ","p","0","0","0","0","0","0","0","0","0","0","0","1","0"
"151","151","nurturing   ","p","1","0","0","0","0","0","0","1","0","0","0","0","0"
"152","152","peace   ","p","1","0","1","1","2","1","4","2","1","2","2","0","5"
"153","153","peaceful   ","p","0","0","0","0","0","1","1","0","0","0","0","0","2"
"154","154","perfect   ","p","1","4","2","0","6","0","1","1","0","3","4","3","1"
"155","155","positive   ","p","0","0","0","0","1","1","5","6","1","3","1","2","3"
"156","156","precious   ","p","1","1","0","1","1","0","0","0","3","1","1","1","4"
"157","157","pretty   ","p","2","6","0","2","11","12","6","12","14","9","3","2","7"
"158","158","proud   ","p","0","0","1","1","11","1","0","2","1","2","0","2","3"
"159","159","provide   ","p","3","0","0","1","16","3","2","5","2","0","2","0","1"
"160","160","provides   ","p","0","2","0","0","15","1","0","2","1","1","1","1","2"
"161","161","provided   ","p","3","4","0","0","0","5","1","0","0","1","0","1","1"
"162","162","provider   ","p","0","0","0","0","1","0","0","0","1","0","0","0","0"
"163","163","sexy   ","p","0","1","2","0","0","2","1","3","0","1","3","2","0"
"164","164","success   ","p","0","0","0","0","0","0","0","1","1","0","2","0","0"
"165","165","successul   ","p","0","0","0","0","0","0","0","0","0","0","0","0","0"
"166","166","smart   ","p","0","2","0","0","8","1","2","6","1","1","4","1","1"
"167","167","abuse   ","n","0","1","3","3","8","7","1","1","0","3","6","1","1"
"168","168","abuses   ","n","0","0","0","0","0","0","0","0","0","0","0","0","0"
"169","169","abused   ","n","0","0","0","0","0","1","0","0","0","0","1","0","0"
"170","170","abusing   ","n","0","0","0","0","0","0","0","0","0","1","0","0","2"
"171","171","abusive   ","n","0","0","0","0","1","0","1","1","0","2","0","0","0"
"172","172","assault   ","n","0","0","0","0","0","1","0","1","2","1","1","0","0"
"173","173","assaults   ","n","0","0","0","0","0","0","0","0","0","0","0","0","0"
"174","174","assaulted   ","n","0","0","0","0","0","1","0","0","0","1","0","0","0"
"175","175","assaulting   ","n","1","0","0","0","0","0","2","1","0","1","0","0","0"
"176","176","bitch   ","n","0","1","3","1","13","11","0","1","2","1","0","0","0"
"177","177","bs   ","n","0","0","1","0","6","1","3","0","3","1","1","0","1"
"178","178","bullshit   ","n","0","0","0","0","13","1","1","0","0","0","0","0","2"
"179","179","classless   ","n","0","0","0","0","0","0","0","0","0","0","0","0","0"
"180","180","classlessness   ","n","0","0","0","0","1","0","0","0","0","0","0","0","0"
"181","181","crazy   ","n","0","2","3","3","20","19","15","9","23","7","4","2","3"
"182","182","crazi   ","n","0","0","0","0","0","1","0","0","0","0","0","0","0"
"183","183","deadbeat   ","n","1","1","2","0","0","1","0","4","1","3","1","5","0"
"184","184","delusional   ","n","0","0","1","0","0","0","0","0","0","0","0","0","0"
"185","185","derogatory   ","n","0","0","0","0","3","0","0","0","0","0","0","0","0"
"186","186","demeaning   ","n","0","0","0","0","2","0","2","0","0","1","0","0","0"
"187","187","disappoint   ","n","0","0","0","0","0","0","0","0","0","0","0","0","1"
"188","188","disappoints   ","n","0","0","0","0","0","0","0","0","0","0","0","0","0"
"189","189","disappointing   ","n","0","0","0","0","1","0","0","0","2","0","0","0","1"
"190","190","disappointed   ","n","0","0","0","1","3","1","0","0","0","0","0","0","1"
"191","191","drama   ","n","9","22","11","20","116","41","45","25","59","20","25","8","19"
"192","192","estranged   ","n","0","0","0","1","1","1","0","0","2","0","1","0","1"
"193","193","frustrate   ","n","0","0","0","0","2","0","0","0","0","0","0","0","0"
"194","194","frustrates   ","n","0","0","0","0","0","0","0","0","0","0","0","0","0"
"195","195","frustrating   ","n","0","0","0","0","0","5","0","1","0","0","0","0","0"
"196","196","frustrated   ","n","0","0","0","0","0","0","0","1","0","0","0","0","0"
"197","197","ghetto   ","n","1","35","2","0","7","0","2","0","0","1","0","1","0"
"198","198","gross   ","n","0","0","0","0","0","2","1","2","1","1","1","1","0"
"199","199","hate   ","n","0","2","1","1","20","4","15","12","19","5","1","1","5"
