w1,w2,count,p1,p2,joint.prob.nonnorm,joint.prob,expected,disparity,score
baby,mama,952,0.006152399,0.00366316,2.25E-05,8.81E-05,26.78082814,35.54781783,22.1521015
of,the,807,0.01604359,0.032968442,0.000528932,0.002066773,628.5264268,1.28395556,18.59220413
in,the,757,0.012064753,0.032968442,0.000397756,0.00155421,472.6508424,1.601605101,17.38391018
to,be,583,0.02759208,0.005813705,0.000160412,0.000626802,190.616726,3.058493408,13.17960508
887,8907,11,3.62E-05,3.62E-05,1.31E-09,5.11E-09,0.001554714,7075.258156,10.57579268
1722,st2,12,3.95E-05,3.95E-05,1.56E-09,6.08E-09,0.001850238,6485.653309,9.664160941
californias,safely,11,3.62E-05,4.27E-05,1.55E-09,6.04E-09,0.001837389,5986.756901,8.848147693
safely,surrendered,11,4.27E-05,3.62E-05,1.55E-09,6.04E-09,0.001837389,5986.756901,8.848147693
addthis_config,data_track_addressbar,14,4.60E-05,4.60E-05,2.12E-09,8.28E-09,0.002518379,5559.131408,8.241957907
kaley,cuoco,14,4.60E-05,4.60E-05,2.12E-09,8.28E-09,0.002518379,5559.131408,8.241957907
formally,arraigned,13,4.60E-05,4.27E-05,1.97E-09,7.69E-09,0.002338495,5559.131408,8.217781945
negatively,impacting,11,4.60E-05,3.62E-05,1.67E-09,6.51E-09,0.001978726,5559.131408,8.16943002
on,the,368,0.007816276,0.032968442,0.00025769,0.001006911,306.2117886,1.201782602,7.978826255
faust,joseline,15,4.93E-05,4.93E-05,2.43E-09,9.51E-09,0.002890996,5188.522648,7.677911886
joseline,hernandez,15,4.93E-05,4.93E-05,2.43E-09,9.51E-09,0.002890996,5188.522648,7.677911886
lhhnys,amina,15,4.93E-05,4.93E-05,2.43E-09,9.51E-09,0.002890996,5188.522648,7.677911886
amina,buddafly,15,4.93E-05,4.93E-05,2.43E-09,9.51E-09,0.002890996,5188.522648,7.677911886
raven,symone,15,4.93E-05,4.93E-05,2.43E-09,9.51E-09,0.002890996,5188.522648,7.677911886
britney,spears,12,3.95E-05,4.93E-05,1.95E-09,7.61E-09,0.002312797,5188.522648,7.605383999
is,a,352,0.011732635,0.021117428,0.000247763,0.000968121,294.4151615,1.195590601,7.59200103
nyp,holdings,16,5.26E-05,5.26E-05,2.77E-09,1.08E-08,0.003289311,4864.239982,7.187393613
mimi,faust,15,5.26E-05,4.93E-05,2.60E-09,1.01E-08,0.003083729,4864.239982,7.163217651
creepy,preacher,15,5.26E-05,5.26E-05,2.77E-09,1.08E-08,0.003289311,4560.224983,6.680691805
grady,cole,12,3.95E-05,5.59E-05,2.21E-09,8.62E-09,0.00262117,4578.108218,6.636547791
featuring,raven,15,5.92E-05,4.93E-05,2.92E-09,1.14E-08,0.003469196,4323.768873,6.305393925
google_ad_slot,9384193660,14,5.92E-05,4.60E-05,2.72E-09,1.06E-08,0.003237916,4323.768873,6.281217963
336x280,google_ad_slot,14,4.60E-05,5.92E-05,2.72E-09,1.06E-08,0.003237916,4323.768873,6.281217963
