w1,w2,w3,count,p1,p2,p3,joint.prob.nonnorm,joint.prob,expected,disparity,score
californias,safely,surrendered,11,3.62E-05,4.27E-05,3.62E-05,5.59E-14,8.16E-12,2.48E-06,4433053.388,17.11401693
baby,mama,drama,161,0.006152399,0.00366316,0.001381084,3.11E-08,4.54E-06,1.380922385,116.5887393,16.99535024
lhhnys,amina,buddafly,15,4.93E-05,4.93E-05,4.93E-05,1.20E-13,1.75E-11,5.32E-06,2817451.709,11.15837677
faust,joseline,hernandez,15,4.93E-05,4.93E-05,4.93E-05,1.20E-13,1.75E-11,5.32E-06,2817451.709,11.15837677
all,rights,reserved,105,0.00395253,0.000483379,0.000355136,6.79E-10,9.90E-08,0.030102777,3488.050309,10.4741894
mimi,faust,joseline,15,5.26E-05,4.93E-05,4.93E-05,1.28E-13,1.87E-11,5.68E-06,2641360.977,10.45837491
336x280,google_ad_slot,9384193660,14,4.60E-05,5.92E-05,4.60E-05,1.25E-13,1.83E-11,5.57E-06,2515581.883,9.841684956
the,baby,mama,98,0.032968442,0.006152399,0.00366316,7.43E-07,0.000108397,32.96459008,2.97288696,9.643515003
featuring,raven,symone,15,5.92E-05,4.93E-05,4.93E-05,1.44E-13,2.10E-11,6.39E-06,2347876.424,9.291705148
336,887,8907,11,9.21E-05,3.62E-05,3.62E-05,1.20E-13,1.76E-11,5.34E-06,2058203.358,7.673432426
5.9228E+15,bn,336x280,14,5.92E-05,6.25E-05,4.60E-05,1.70E-13,2.48E-11,7.55E-06,1853586.65,7.210099022
bn,336x280,google_ad_slot,14,6.25E-05,4.60E-05,5.92E-05,1.70E-13,2.48E-11,7.55E-06,1853586.65,7.210099022
his,baby,mama,77,0.006356274,0.006152399,0.00366316,1.43E-07,2.09E-05,6.355530882,12.11543165,7.193090152
887,8907,fatherswithvoices,11,3.62E-05,3.62E-05,9.86E-05,1.29E-13,1.88E-11,5.73E-06,1920989.801,7.127976432
a,lot,of,76,0.021117428,0.00040446,0.01604359,1.37E-07,2.00E-05,6.079491166,12.50104621,7.076403057
google_ad_slot,9384193660,google_ad_width,14,5.92E-05,4.60E-05,6.58E-05,1.79E-13,2.61E-11,7.95E-06,1760907.318,6.841676991
raven,symone,ben,15,4.93E-05,4.93E-05,8.22E-05,2.00E-13,2.92E-11,8.87E-06,1690471.025,6.678364876
you,need,to,71,0.010821778,0.000914146,0.02759208,2.73E-07,3.98E-05,12.11009082,5.862879233,6.492933527
