w1,w2,w3,w4,count,p1,p2,p3,p4,joint.prob.nonnorm,joint.prob,expected,disparity,score
plastic,wal,mart,bag,7,4.27E-05,2.30E-05,2.63E-05,5.59E-05,1.45E-18,3.11E-14,9.45E-09,740997888.7,23.01693057
blame,barbara,walters,1994,7,9.54E-05,3.29E-05,2.30E-05,2.96E-05,2.14E-18,4.59E-14,1.39E-08,501947995.1,15.32377753
holiday,inn,east,resort,6,3.95E-05,2.63E-05,5.59E-05,3.62E-05,2.10E-18,4.51E-14,1.37E-08,437862388.8,13.06950394
mimi,faust,joseline,hernandez,15,5.26E-05,4.93E-05,4.93E-05,4.93E-05,6.31E-18,1.36E-13,4.12E-08,363912296.4,12.41634317
pop,culture,moments,of,69,0.000295947,0.000299235,0.000299235,0.01604359,4.25E-13,9.13E-09,0.0027756,24859.48972,11.06594073
culture,moments,of,2015,69,0.000299235,0.000299235,0.01604359,0.000644506,9.26E-13,1.99E-08,0.00604464,11415.07181,11.06550806
black,pop,culture,moments,66,0.001555363,0.000295947,0.000299235,0.000299235,4.12E-14,8.85E-10,0.000269084,245276.9471,10.49746213
top,black,pop,culture,63,0.000519551,0.001555363,0.000295947,0.000299235,7.16E-14,1.54E-09,0.0004672,134845.8705,9.91833609
bn,336x280,google_ad_slot,9384193660,14,6.25E-05,4.60E-05,5.92E-05,4.60E-05,7.84E-18,1.68E-13,5.12E-08,273618268,9.318624724
336x280,google_ad_slot,9384193660,google_ad_width,14,4.60E-05,5.92E-05,4.60E-05,6.58E-05,8.25E-18,1.77E-13,5.39E-08,259937354.6,8.878342744
temporarily,out,of,stock,56,0.000187433,0.003127168,0.01604359,0.000184145,1.73E-12,3.72E-08,0.011305115,4953.509959,8.571154248
out,of,stock,temporarily,54,0.003127168,0.01604359,0.000184145,0.000187433,1.73E-12,3.72E-08,0.011305115,4776.598889,8.187433807
stock,temporarily,out,of,54,0.000184145,0.000187433,0.003127168,0.01604359,1.73E-12,3.72E-08,0.011305115,4776.598889,8.187433807
of,stock,temporarily,out,54,0.01604359,0.000184145,0.000187433,0.003127168,1.73E-12,3.72E-08,0.011305115,4776.598889,8.187433807
st1,fill,1722,st2,12,3.95E-05,0.000124955,3.95E-05,3.95E-05,7.68E-18,1.65E-13,5.01E-08,239415984.5,7.834205026
5.92E+15,bn,336x280,google_ad_slot,14,5.92E-05,6.25E-05,4.60E-05,5.92E-05,1.01E-17,2.16E-13,6.58E-08,212814208.4,7.361815924
raven,symone,ben,carson,15,4.93E-05,4.93E-05,8.22E-05,5.59E-05,1.12E-17,2.40E-13,7.30E-08,205503414.5,7.318395816
barbara,walters,1994,interview,7,3.29E-05,2.30E-05,2.96E-05,0.000190721,4.27E-18,9.17E-14,2.79E-08,250973997.5,7.246880518
887,8907,fatherswithvoices,yahoo,11,3.62E-05,3.62E-05,9.86E-05,5.92E-05,7.64E-18,1.64E-13,4.99E-08,220552906.9,7.035292194
featuring,raven,symone,ben,15,5.92E-05,4.93E-05,4.93E-05,8.22E-05,1.18E-17,2.54E-13,7.73E-08,194086558.1,6.950976187
category,featuring,raven,symone,15,8.88E-05,5.92E-05,4.93E-05,4.93E-05,1.28E-17,2.74E-13,8.35E-08,179709776,6.488299617
1722,st2,fill,ffffff,12,3.95E-05,3.95E-05,0.000124955,4.93E-05,9.60E-18,2.06E-13,6.27E-08,191532787.6,6.293218095
create,a,new,password,44,0.000220316,0.021117428,0.001854598,0.000190721,1.65E-12,3.53E-08,0.010743678,4095.431876,6.268838145
stfu,category,featuring,raven,15,5.26E-05,8.88E-05,5.92E-05,4.93E-05,1.36E-17,2.93E-13,8.90E-08,168477915,6.126833547
pub,5.92E+15,bn,336x280,14,8.22E-05,5.92E-05,6.25E-05,4.60E-05,1.40E-17,3.00E-13,9.14E-08,153226230.1,5.444143299
potomacs,karen,throws,shade,15,4.93E-05,7.23E-05,5.92E-05,7.56E-05,1.60E-17,3.43E-13,1.04E-07,143838852.3,5.333894145
google_ad_slot,9384193660,google_ad_width,336,14,5.92E-05,4.60E-05,6.58E-05,9.21E-05,1.65E-17,3.54E-13,1.08E-07,129968677.3,4.695663933
336,887,8907,fatherswithvoices,11,9.21E-05,3.62E-05,3.62E-05,9.86E-05,1.19E-17,2.55E-13,7.76E-08,141784011.6,4.500335339
9384193660,google_ad_width,336,google_ad_height,14,4.60E-05,6.58E-05,9.21E-05,6.58E-05,1.83E-17,3.94E-13,1.20E-07,116971809.6,4.277396052
the,mother,of,his,33,0.032968442,0.001354777,0.01604359,0.006356274,4.55E-09,9.78E-05,29.73639775,1.109751096,4.158275265
google_ad_client,pub,5.92E+15,bn,14,6.58E-05,8.22E-05,5.92E-05,6.25E-05,2.00E-17,4.29E-13,1.31E-07,107258361.1,3.964795846
symone,ben,carson,donald,15,4.93E-05,8.22E-05,5.59E-05,0.000101937,2.31E-17,4.96E-13,1.51E-07,99437136.03,3.904948941
